Wasser;19.09.24;
;;
Datum;Zeit;Zählerstand
29.10.22;11:39;381,000
21.12.22;16:55;389,000
23.12.22;19:53;390,000
24.12.22;22:20;390,000
12.08.24;05:40;515,980
19.08.24;08:27;516,780
26.08.24;08:03;519,340
02.09.24;09:49;520,400
09.09.24;07:59;522,140
16.09.24;21:37;522,940
;;
Created with EnergyControl v1.4.2(#923);;
Wenn dir unsere App gefällt, freuen wir uns über eine Bewertung im AppStore.;;
https://itunes.apple.com/app/id1478467447?action=write-review;;
;;
Made with love in Cologne, Germany;;